title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
A House of Blocks,SHOW,2017,TV-MA,84,"['horror', 'drama']",['TW'],1,53684,2.3,137
First and Last,SHOW,2018,TV-MA,44,['documentation'],['US'],1,93502,6.7,421
Judah Friedlander: America Is the Greatest Country in the United States,MOVIE,2017,R,84,"['comedy', 'documentation']",['US'],null,82890,7.8,1436
Dave Chappelle: Equanimity & The Bird Revelation,SHOW,2017,TV-MA,57,['comedy'],['US'],1,,,
Freej Al Taibeen,MOVIE,2018,PG-13,100,"['comedy', 'sport']",['AE'],null,78900,5.8,9
All Hail King Julien: Exiled,SHOW,2017,TV-Y7,23,"['animation', 'comedy', 'family', 'fantasy']",['US'],1,65906,7.5,559
Falling in Love Like a Romantic Drama,SHOW,2018,TV-14,39,['reality'],['JP'],1,,,
Justice: Qalb Al Adala,SHOW,2017,TV-14,37,"['drama', 'crime']",['US'],1,38544,5.6,155
REA(L)OVE,SHOW,2018,TV-MA,45,['reality'],['JP'],1,77194,6.6,210
Night of Knots,MOVIE,2018,G,100,['comedy'],['TR'],null,45670,5.4,1282
Buddy Thunderstruck,SHOW,2017,TV-Y7,22,"['comedy', 'sport', 'animation', 'action', 'family']",['US'],2,91468,7.8,489
Poster Boys,MOVIE,2017,PG-13,128,['comedy'],['IN'],null,52548,5.5,1541
Blazing Transfer Students,SHOW,2017,TV-MA,26,"['action', 'comedy']",['JP'],1,31520,7,116
Club de Cuervos Presents: The Ballad of Hugo Sánchez,SHOW,2018,TV-MA,32,"['comedy', 'drama']",['MX'],1,98114,6.4,816
Deliha 2,MOVIE,2018,G,106,['comedy'],['TR'],null,71636,4.7,2554
DreamWorks Home: For the Holidays,MOVIE,2017,PG-13,45,"['fantasy', 'comedy', 'family', 'scifi', 'animation']",['GB'],null,13204,4.9,149
Check The Store Next Door,SHOW,2018,TV-14,30,"['comedy', 'drama']",['ID'],2,45904,7.8,129
A Little Help with Carol Burnett,SHOW,2018,TV-G,34,[],['US'],1,4366,6.3,233
Turkish Dance School,MOVIE,2017,PG-13,111,"['drama', 'comedy']",['TR'],null,33878,5.7,2113
Spiritual House,SHOW,2017,TV-PG,41,[],['JP'],1,,,
Vanjagar Ulagam,MOVIE,2018,PG-13,161,"['thriller', 'action', 'crime', 'drama']",['IN'],null,33564,6,258
Luciano Mellera: Infantiloide,MOVIE,2018,PG-13,66,['comedy'],['AR'],null,7400,7.5,1516
My Travel Buddy 2,MOVIE,2018,PG-13,116,['comedy'],['TR'],null,48256,5.8,3217
Teefa in Trouble,MOVIE,2018,PG-13,155,"['drama', 'comedy', 'crime', 'romance', 'action']",['PK'],null,43306,7.3,3569
The Hollywood Masters,SHOW,2017,TV-MA,34,['documentation'],['US'],3,78034,7.2,86
Kulipari: Dream Walker,SHOW,2018,TV-Y7,19,"['fantasy', 'animation', 'action']",['US'],1,3064,7.7,91
ID-0,SHOW,2017,TV-14,24,"['scifi', 'animation', 'action', 'drama']",['JP'],1,61218,6.2,320
Fantastica,MOVIE,2018,G,114,"['fantasy', 'comedy']",['PH'],null,70416,3.6,212
Penalty Kick,MOVIE,2018,PG-13,89,['comedy'],"['MX', 'CO']",null,7436,3.7,280
"Love, Surreal and Odd",MOVIE,2017,G,95,"['comedy', 'romance']",['TR'],null,55772,5.6,3216
Puppy Star Christmas,MOVIE,2018,PG,90,"['family', 'comedy']",['US'],null,61786,3.6,248
The Perfect Match,SHOW,2017,TV-14,44,"['comedy', 'drama']",['TW'],1,,,
Harvey Street Kids,SHOW,2018,TV-Y7,24,"['action', 'family', 'animation', 'comedy']",['US'],4,58552,6.8,249
Pup Star: World Tour,MOVIE,2018,G,87,"['comedy', 'family']","['CA', 'JP', 'US']",null,22864,3.8,207
DeRay Davis: How to Act Black,MOVIE,2017,PG,66,['comedy'],['US'],null,88084,6.1,427
Life Plan A and B,SHOW,2017,TV-PG,80,['drama'],['TW'],1,34962,7.8,106
Adel Karam: Live from Beirut,MOVIE,2018,R,59,['comedy'],['LB'],null,81748,5.5,144
Coco y Raulito: Carrusel de ternura,MOVIE,2018,PG-13,56,['comedy'],['MX'],null,7498,6.6,39
Highland: Thailand's Marijuana Awakening,SHOW,2017,TV-MA,20,['documentation'],['US'],1,1224,6.2,24
Zoé: Panoramas,MOVIE,2017,PG,89,"['music', 'documentation']",['XX'],null,58844,6.8,77
Good Game: The Beginning,MOVIE,2018,PG-13,104,"['comedy', 'drama', 'sport']",['TR'],null,10324,4.4,1796
Lilli,MOVIE,2018,PG,91,['thriller'],['IN'],null,73258,5.7,278
Enissa Amani: Ehrenwort,MOVIE,2018,PG,65,"['comedy', 'european']",['US'],null,28418,5.5,194
The Break with Michelle Wolf,SHOW,2018,TV-MA,30,['comedy'],['US'],1,10342,5.1,1862
Project Papa,MOVIE,2018,G,97,['drama'],['XX'],null,43756,6.3,35
Kibaoh Klashers,SHOW,2017,TV-Y7,24,['scifi'],['CN'],2,92122,6.3,17
True: Wonderful Wishes,SHOW,2018,TV-Y,23,['animation'],['US'],1,,,
Dhh,MOVIE,2018,R,128,"['drama', 'family']",['IN'],null,13166,7.9,320
Loo Loo Kids Johny & Friends Musical Adventure,SHOW,2018,TV-Y,3,[],['US'],1,,,
RIDE ON TIME,SHOW,2018,TV-PG,24,[],['JP'],3,,,
Pretty Man,SHOW,2018,TV-14,35,['family'],['CN'],2,,,
Memories of Love,SHOW,2018,TV-PG,44,"['drama', 'romance']",['CN'],1,46636,5.9,16
Kanavu Variyam,MOVIE,2017,G,118,"['scifi', 'family', 'drama']",['IN'],null,83434,6.4,144
We Speak Dance,SHOW,2018,TV-MA,22,['documentation'],['US'],1,37500,7.5,148
Until Midnight,MOVIE,2018,R,78,"['drama', 'thriller']",['AE'],null,41602,6.9,717
Vir Das: Losing It,MOVIE,2018,PG-13,67,['comedy'],['US'],null,15848,7,1238
What Did I Mess,MOVIE,2018,PG-13,100,"['romance', 'comedy']",['LB'],null,63340,7.1,695
YG Future Strategy Office,SHOW,2018,TV-MA,27,['comedy'],['KR'],1,29694,6.9,204
Pandigai,MOVIE,2017,R,150,"['thriller', 'action', 'romance']",['IN'],null,87944,6.3,285
Hajwala 2: Mysterious Mission,MOVIE,2018,PG-13,115,"['action', 'comedy']",['AE'],null,31618,4,91
Fan of Amoory,MOVIE,2018,G,91,['drama'],['AE'],null,40904,5.9,35
What She Put on the Table,SHOW,2017,TV-14,85,['drama'],['TW'],1,73222,7.3,30
Afronta!,SHOW,2017,TV-PG,0,['documentation'],['BR'],1,467250,7.4,8
Elf Pets: Santa's St. Bernards Save Christmas,MOVIE,2018,G,26,"['animation', 'fantasy']",['US'],null,33904,5.3,95
Luna Petunia Return to Amazia,SHOW,2018,TV-Y,24,['animation'],['US'],2,24854,4.8,48
Russian Doll,SHOW,2019,TV-MA,28,"['drama', 'comedy']",['US'],2,20794,7.8,88945
The Gentlemen,MOVIE,2019,R,113,"['comedy', 'crime', 'action']","['US', 'GB']",null,67814,7.8,314049
Bridgerton,SHOW,2020,TV-MA,62,"['drama', 'romance']",['US'],4,40790,7.3,122036
Demon Slayer: Kimetsu no Yaiba,SHOW,2019,TV-MA,25,"['animation', 'scifi', 'action', 'fantasy', 'thriller', 'horror']",['JP'],3,35498,8.7,88265
Sex Education,SHOW,2019,TV-MA,52,"['drama', 'comedy']",['GB'],4,67422,8.3,251168
After Life,SHOW,2019,TV-MA,28,"['comedy', 'drama']",['GB'],3,98600,8.5,124972
"Love, Death & Robots",SHOW,2019,TV-MA,13,"['scifi', 'thriller', 'fantasy', 'horror', 'animation', 'action', 'drama', 'comedy']",['US'],3,61862,8.4,131937
The Umbrella Academy,SHOW,2019,TV-14,52,"['comedy', 'drama', 'fantasy', 'scifi', 'action']",['US'],3,12171,8,202522
The Witcher,SHOW,2019,TV-MA,58,"['scifi', 'action', 'drama', 'fantasy', 'horror']",['US'],2,80504,8.2,465949
The Rental,MOVIE,2020,R,88,"['thriller', 'drama', 'horror']",['US'],null,3008,5.7,29201
Uncut Gems,MOVIE,2019,R,130,"['drama', 'thriller', 'comedy', 'crime']",['US'],null,27208,7.4,261956
Space Force,SHOW,2020,TV-MA,30,['comedy'],['US'],2,12516,6.7,61739
Formula 1: Drive to Survive,SHOW,2019,TV-MA,38,"['documentation', 'sport']",['GB'],6,89930,8.6,36661
The Queen's Gambit,SHOW,2020,TV-MA,56,"['drama', 'sport']",['US'],1,48342,8.6,406350
Selling Sunset,SHOW,2019,TV-MA,35,['reality'],['US'],5,17298,6.5,5482
Dead to Me,SHOW,2019,TV-MA,31,"['drama', 'crime', 'comedy']",['US'],2,89712,8,73110
I Think You Should Leave with Tim Robinson,SHOW,2019,TV-MA,16,['comedy'],['US'],3,50772,7.9,11411
The Last Dance,SHOW,2020,TV-MA,50,"['documentation', 'history', 'sport']",['US'],1,20184,9.1,108321
The Stranger,SHOW,2020,TV-MA,45,"['crime', 'thriller', 'drama']",['GB'],1,98480,7.3,46564
Emily in Paris,SHOW,2020,TV-MA,29,"['drama', 'comedy', 'romance']",['US'],2,62124,6.9,84302
Unbelievable,SHOW,2019,TV-MA,48,"['drama', 'crime']",['US'],1,9970,8.4,95658
ULTRAMAN,SHOW,2019,TV-14,24,"['scifi', 'action', 'drama', 'fantasy', 'animation']",['JP'],3,99270,6.8,2025
Jurassic World: Camp Cretaceous,SHOW,2020,TV-PG,24,"['action', 'family', 'scifi', 'animation']",['US'],4,436228,7.5,7423
Virgin River,SHOW,2019,TV-14,44,"['drama', 'romance']",['US'],3,77530,7.4,34797
Outer Banks,SHOW,2020,TV-MA,49,"['action', 'drama', 'romance', 'thriller', 'crime']",['US'],2,293938,7.5,43404
Locke & Key,SHOW,2020,TV-14,48,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],3,7572,7.4,72031
Rambo: Last Blood,MOVIE,2019,R,101,"['thriller', 'western', 'action']","['US', 'CN']",null,6885,6.1,95013
The Circle,SHOW,2020,TV-MA,52,['reality'],['US'],5,81768,7.3,6380
Freaks,MOVIE,2019,R,105,"['scifi', 'thriller', 'drama']","['US', 'CA']",null,81414,6.7,34111
The King,MOVIE,2019,R,140,"['drama', 'history', 'romance', 'war']","['AU', 'US']",null,84766,7.3,119020
Are You Afraid of the Dark?,SHOW,2019,TV-PG,44,"['thriller', 'horror', 'family', 'drama', 'fantasy']",['US'],2,473306,7.1,2151
I'm Thinking of Ending Things,MOVIE,2020,R,134,"['thriller', 'fantasy', 'drama']",['US'],null,39766,6.6,79921
In the Dark,SHOW,2019,TV-14,41,"['comedy', 'drama', 'crime', 'horror', 'action']",['US'],4,72602,7.7,10927
Young Wallander,SHOW,2020,TV-MA,45,"['crime', 'drama', 'thriller']",['GB'],2,59220,6.8,11039
The Devil All the Time,MOVIE,2020,R,138,"['drama', 'thriller', 'crime', 'horror']",['US'],null,56406,7.1,122321
Tuca & Bertie,SHOW,2019,TV-MA,24,"['comedy', 'animation']",['US'],2,36272,7.3,6724
The Irishman,MOVIE,2019,R,209,"['drama', 'crime', 'history', 'thriller']",['US'],null,2006,7.8,371209
Synchronic,MOVIE,2019,R,102,"['horror', 'scifi', 'thriller', 'drama']",['US'],null,16974,6.2,28617
Hillbilly Elegy,MOVIE,2020,R,116,['drama'],['US'],null,72802,6.7,40703
Feel Good,SHOW,2020,TV-MA,25,"['drama', 'comedy', 'romance']",['GB'],2,98620,7.5,10317
Top Boy,SHOW,2019,TV-MA,44,['drama'],['GB'],3,,,
21 Bridges,MOVIE,2019,R,99,"['action', 'drama', 'crime', 'thriller']",['US'],null,88634,6.6,64117
Love Is Blind,SHOW,2020,TV-MA,54,"['reality', 'romance']",['US'],5,704040,6.1,7655
Marriage Story,MOVIE,2019,R,136,"['drama', 'romance', 'comedy']",['GB'],null,53254,7.9,290643
The Trial of the Chicago 7,MOVIE,2020,R,130,"['drama', 'history', 'thriller']",['US'],null,70874,7.7,170728
Into the Night,SHOW,2020,TV-MA,36,"['scifi', 'drama', 'thriller']",['BE'],2,919486,7.1,30746
Criminal: UK,SHOW,2019,TV-MA,44,"['drama', 'thriller', 'crime']",['GB'],2,48692,7.6,17992
Never Have I Ever,SHOW,2020,TV-14,28,"['drama', 'comedy']",['US'],4,62292,7.8,45346
The Daily Life of the Immortal King,SHOW,2020,TV-14,19,"['scifi', 'comedy', 'fantasy', 'animation', 'action']",['CN'],2,755260,7.2,1211
El Camino: A Breaking Bad Movie,MOVIE,2019,R,123,"['thriller', 'drama', 'crime', 'action']",['US'],null,819010,7.3,216847
Eurovision Song Contest: The Story of Fire Saga,MOVIE,2020,PG-13,123,"['comedy', 'music']",['US'],null,80274,6.5,91043
The Cursed,SHOW,2020,TV-MA,62,"['scifi', 'drama', 'fantasy', 'thriller']",['KR'],1,841276,7.1,395
Get Organized with The Home Edit,SHOW,2020,TV-PG,42,['reality'],['US'],2,834478,5.3,1454
Sweet Magnolias,SHOW,2020,TV-14,50,"['drama', 'romance']",['US'],2,77540,7.3,17435
In the Shadow of the Moon,MOVIE,2019,R,115,"['thriller', 'crime', 'scifi']","['US', 'CA']",null,10640,6.2,49894
Alice in Borderland,SHOW,2020,TV-MA,47,"['action', 'drama', 'scifi', 'thriller', 'fantasy']",['JP'],2,795658,7.6,47651
Raising Dion,SHOW,2019,TV-G,43,"['scifi', 'drama']",['US'],2,26108,7.1,14464
Summerland,MOVIE,2020,PG,100,"['romance', 'drama', 'war']",['GB'],null,41122,7,6052
Kingdom,SHOW,2019,TV-MA,48,"['action', 'thriller', 'drama', 'scifi', 'horror', 'history']",['KR'],2,11916,8.3,43760
The Social Dilemma,MOVIE,2020,PG-13,94,"['drama', 'documentation']",['US'],null,464826,7.6,79674
Black Summer,SHOW,2019,TV-MA,39,"['scifi', 'action', 'drama', 'horror', 'thriller']",['US'],2,23854,6.5,28657
The Promised Neverland,SHOW,2019,TV-MA,23,"['scifi', 'action', 'thriller', 'drama', 'fantasy', 'horror', 'animation']",['JP'],2,88458,8.4,34730
Dracula,SHOW,2020,TV-MA,88,"['action', 'drama', 'fantasy', 'horror', 'thriller']",['GB'],1,65388,6.8,45971
Mank,MOVIE,2020,R,131,"['comedy', 'drama']",['US'],null,618286,6.8,71244
6 Underground,MOVIE,2019,R,127,"['action', 'thriller', 'comedy']",['US'],null,6534,6.1,168919
I Care a Lot,MOVIE,2020,R,118,"['comedy', 'crime', 'drama', 'thriller']","['US', 'GB']",null,93250,6.3,128172
The Dark Crystal: Age of Resistance,SHOW,2019,TV-PG,51,"['scifi', 'drama', 'animation', 'fantasy', 'family', 'horror', 'action']","['GB', 'US']",1,5542,8.4,24164
When They See Us,SHOW,2019,TV-MA,74,"['drama', 'history', 'crime']",['US'],1,37906,8.9,114127
Cocomelon,SHOW,2019,TV-PG,8,"['animation', 'comedy', 'family']","['US', 'GB']",4,427840,4.9,522
Another Life,SHOW,2019,TV-MA,42,"['scifi', 'thriller', 'drama']",['US'],2,69840,5.2,35108
Living with Yourself,SHOW,2019,TV-MA,26,"['drama', 'comedy', 'scifi']",['US'],2,80894,7.2,30134
The Movies That Made Us,SHOW,2019,TV-PG,47,"['history', 'documentation', 'family']",['US'],3,681222,7.6,6147
Giri/Haji,SHOW,2019,TV-MA,58,"['thriller', 'crime', 'drama']",['GB'],1,1106,7.8,13570
Don't F**k with Cats: Hunting an Internet Killer,SHOW,2019,TV-MA,62,"['crime', 'documentation']","['US', 'GB']",1,318602,8,50250
Always Be My Maybe,MOVIE,2019,PG-13,101,"['romance', 'comedy']",['US'],null,74948,6.8,54166
Enola Holmes,MOVIE,2020,PG-13,123,"['crime', 'drama', 'action']",['US'],null,46844,6.6,160806
Scary Stories to Tell in the Dark,MOVIE,2019,PG-13,108,"['horror', 'thriller']","['CA', 'CN', 'US']",null,87520,6.2,73859
The Valhalla Murders,SHOW,2019,TV-MA,46,"['thriller', 'crime', 'drama', 'scifi']",['IS'],1,822,7.1,13038
Triple Frontier,MOVIE,2019,R,125,"['thriller', 'action', 'crime', 'drama']",['US'],null,88606,6.4,124218
Fast Color,MOVIE,2019,PG-13,102,"['thriller', 'drama', 'scifi']",['US'],null,18778,6,6194
The Midnight Sky,MOVIE,2020,PG-13,118,"['drama', 'scifi', 'thriller', 'fantasy']",['US'],null,539608,5.6,81513
Official Secrets,MOVIE,2019,R,112,"['thriller', 'crime', 'drama', 'war', 'romance']","['GB', 'US']",null,31890,7.3,45200
The Hateful Eight: Extended Version,SHOW,2019,TV-MA,199,"['western', 'crime', 'thriller', 'drama']",['US'],1,,,
Barbarians,SHOW,2020,TV-MA,47,"['action', 'drama', 'history']",['DE'],1,84986,7.2,23180
I Am Mother,MOVIE,2019,PG-13,113,"['scifi', 'thriller', 'horror', 'drama']",['AU'],null,92852,6.7,87891
Marianne,SHOW,2019,TV-MA,49,"['thriller', 'drama', 'horror']",['FR'],1,875696,7.4,14518
The Haunting of Bly Manor,SHOW,2020,TV-MA,55,"['drama', 'scifi', 'thriller', 'horror']",['US'],1,970552,7.3,96015
"Roswell, New Mexico",SHOW,2019,TV-14,42,"['scifi', 'drama', 'romance']",['US'],3,88054,6.2,11928
The Old Guard,MOVIE,2020,R,125,"['fantasy', 'action', 'thriller']",['US'],null,56122,6.6,155135
Hollywood,SHOW,2020,TV-MA,50,"['drama', 'history']",['US'],1,27854,7.5,35067
The Midnight Gospel,SHOW,2020,TV-MA,25,['scifi'],['US'],1,,,
The Outpost,MOVIE,2020,R,123,"['drama', 'action', 'history', 'war']","['US', 'BG']",null,33480,6.8,31819
Cursed,SHOW,2020,TV-MA,55,"['scifi', 'action', 'drama', 'fantasy']",['US'],1,10856,5.8,29446
Extraction,MOVIE,2020,R,116,"['thriller', 'crime', 'drama', 'action']",['US'],null,36646,6.7,192132
To the Lake,SHOW,2019,TV-MA,43,"['scifi', 'thriller', 'drama']",['RU'],2,51230,7.2,12456
Pokémon Journeys: The Series,SHOW,2020,TV-Y7,22,"['animation', 'action', 'scifi', 'comedy', 'family', 'fantasy']",['JP'],1,33496,6.9,472
The Defeated,SHOW,2020,TV-MA,54,"['drama', 'thriller']",['DE'],1,79894,7,5597
Occupation: Rainfall,MOVIE,2020,R,128,"['action', 'scifi']",['AU'],null,15822,5.6,14122
Conversations with a Killer: The Ted Bundy Tapes,SHOW,2019,TV-MA,59,"['crime', 'history', 'documentation']",['US'],1,25132,7.8,27439
"Extremely Wicked, Shockingly Evil and Vile",MOVIE,2019,R,111,"['crime', 'drama', 'thriller']",['US'],null,81498,6.7,91162
I Am Not Okay with This,SHOW,2020,TV-MA,21,"['comedy', 'drama', 'fantasy', 'scifi']",['US'],1,46688,7.5,56459
Tiger King,SHOW,2020,TV-MA,44,"['crime', 'documentation']",['US'],2,823076,7.5,76961
Unorthodox,SHOW,2020,TV-MA,54,['drama'],['DE'],1,7544,8,74118
The Old Ways,MOVIE,2020,R,90,"['fantasy', 'thriller', 'drama', 'horror']",['US'],null,829958,5.4,5708
The Half of It,MOVIE,2020,PG-13,104,"['comedy', 'romance', 'drama']",['US'],null,83478,6.9,34959
After,MOVIE,2019,PG-13,106,"['drama', 'romance']",['US'],null,26476,5.2,52180
Dolemite Is My Name,MOVIE,2019,R,118,"['comedy', 'drama']",['US'],null,26872,7.2,59836
Warrior Nun,SHOW,2020,TV-MA,43,"['scifi', 'action', 'drama', 'fantasy']",['US'],1,59350,6.8,29164
Ragnarok,SHOW,2020,TV-MA,47,"['action', 'drama', 'fantasy', 'thriller', 'scifi']",['NO'],2,51798,7.5,36185
The Order,SHOW,2019,TV-MA,48,"['scifi', 'horror', 'drama', 'fantasy', 'crime', 'thriller']",['US'],2,95472,6.7,27286
The Paper Tigers,MOVIE,2020,PG-13,108,"['comedy', 'action']",['US'],null,60444,6.3,4144
Pieces of a Woman,MOVIE,2020,R,127,['drama'],"['HU', 'US', 'CA']",null,161474,7,47795
Love on the Spectrum,SHOW,2019,TV-14,42,"['reality', 'documentation', 'romance']",['AU'],2,904786,8.6,5210
Jiu Jitsu,MOVIE,2020,R,102,"['fantasy', 'action', 'scifi', 'thriller', 'comedy']","['US', 'CY']",null,24766,2.9,8502
Away,SHOW,2020,TV-14,50,"['scifi', 'drama', 'romance']",['US'],1,87802,6.6,23706
The Wind,MOVIE,2019,R,86,"['western', 'thriller', 'horror']",['US'],null,26594,5.5,8078
The Pharmacist,SHOW,2020,TV-MA,54,"['crime', 'documentation']",['US'],1,600174,7.7,6989
Five Feet Apart,MOVIE,2019,PG-13,116,"['romance', 'drama']",['US'],null,72976,7.2,61878
Sweet Home,SHOW,2020,TV-MA,52,['scifi'],['KR'],1,,,
Ghost in the Shell: SAC_2045,SHOW,2020,TV-14,25,"['scifi', 'animation', 'action', 'thriller', 'crime', 'drama']",['JP'],2,66298,6.2,2020
Murder Mystery,MOVIE,2019,PG-13,97,"['comedy', 'action', 'crime', 'romance']",['US'],null,18434,6,120532
The Water Man,MOVIE,2020,PG,92,"['action', 'drama', 'family', 'fantasy', 'thriller']",['US'],null,79326,5.4,3641
Rebecca,MOVIE,2020,PG-13,121,"['thriller', 'romance', 'drama']",['GB'],null,35695,6,40447
The Politician,SHOW,2019,TV-14,43,"['comedy', 'drama']",['US'],2,71476,7.5,21887
The Society,SHOW,2019,TV-MA,56,"['scifi', 'thriller', 'drama']",['US'],1,78064,7,27693
The Untamed,SHOW,2019,TV-14,44,"['action', 'comedy', 'romance', 'drama', 'fantasy', 'horror']",['CN'],1,554898,8.8,5963
Countdown,MOVIE,2019,PG-13,90,"['horror', 'thriller', 'european']",['US'],null,,,
Fractured,MOVIE,2019,R,99,['thriller'],['US'],null,32232,6.4,70860
Da 5 Bloods,MOVIE,2020,R,156,"['war', 'drama']",['US'],null,77644,6.5,50236
Our Planet,SHOW,2019,TV-G,50,['documentation'],['GB'],1,53866,9.3,41386
The Family,SHOW,2019,TV-14,26,"['documentation', 'sport', 'reality']",['US'],1,780886,6.4,3491
The Spy,SHOW,2019,TV-MA,53,"['drama', 'history']",['FR'],1,52634,7.9,40535
Daybreak,SHOW,2019,TV-MA,44,"['scifi', 'drama', 'fantasy', 'horror', 'thriller', 'comedy', 'action']",['US'],1,374132,6.7,19398
The Highwaymen,MOVIE,2019,R,132,"['thriller', 'crime', 'drama']",['US'],null,60242,6.9,88714
The Dirt,MOVIE,2019,R,108,"['drama', 'music', 'comedy']",['US'],null,325,6.9,47603
The Woods,SHOW,2020,TV-MA,43,['drama'],['PL'],1,,,
Ava,MOVIE,2020,R,96,"['drama', 'thriller', 'action', 'crime']",['US'],null,84956,5.4,53131
The Comey Rule,SHOW,2020,TV-MA,82,"['war', 'drama']",['US'],1,74536,7.4,8598
Merli: Dare to Know,SHOW,2019,TV-MA,48,"['drama', 'comedy']",['ES'],2,15632,7.6,1711
American Pie Presents: Girls' Rules,MOVIE,2020,R,95,['comedy'],['US'],null,771594,,
Too Hot to Handle,SHOW,2020,TV-MA,42,"['reality', 'romance']",['US'],3,4280,4.6,12001
The Night Clerk,MOVIE,2020,R,90,"['thriller', 'crime', 'drama', 'romance']",['US'],null,79142,5.5,14600
Ma Rainey's Black Bottom,MOVIE,2020,R,94,"['music', 'drama']",['US'],null,514222,6.9,50275
Ratched,SHOW,2020,TV-MA,54,"['crime', 'drama', 'thriller']",['US'],2,23538,7.2,52731
Polar,MOVIE,2019,R,118,"['action', 'crime', 'drama', 'thriller', 'european']","['US', 'DE']",null,39588,6.3,87080
DC Super Hero Girls,SHOW,2019,TV-PG,10,"['scifi', 'comedy', 'family', 'fantasy', 'drama', 'animation', 'action']",['US'],2,27444,7.2,1193
"Yes, God, Yes",MOVIE,2020,R,78,"['comedy', 'drama']","['GB', 'US']",null,49056,6.1,14496
The Prom,MOVIE,2020,PG-13,130,"['comedy', 'drama', 'music']",['US'],null,161886,5.9,26197
Dark Desire,SHOW,2020,TV-MA,34,"['drama', 'thriller']",['MX'],2,540080,6.5,7135
Unsolved Mysteries,SHOW,2020,TV-MA,49,"['documentation', 'drama', 'thriller', 'crime']",['US'],2,42938,7.3,9391
We Summon the Darkness,MOVIE,2020,R,91,"['horror', 'thriller', 'music', 'comedy']",['US'],null,58874,5.2,10056
The English Game,SHOW,2020,TV-14,48,['drama'],['GB'],1,,,
Someone Great,MOVIE,2019,R,92,"['romance', 'comedy']",['US'],null,75260,6.2,21501
Sweetheart,MOVIE,2019,PG-13,82,"['horror', 'thriller', 'scifi', 'drama', 'fantasy']",['US'],null,60164,5.8,8074
WHAT / IF,SHOW,2019,TV-MA,59,"['drama', 'thriller']",['US'],1,60450,6.3,15135
The Wrong Missy,MOVIE,2020,R,90,"['comedy', 'romance']",['US'],null,19798,5.7,38647
David Attenborough: A Life on Our Planet,MOVIE,2020,PG,83,['documentation'],['GB'],null,989890,9,31180
Skylines,MOVIE,2020,R,113,"['scifi', 'action']","['FR', 'LT', 'GB']",null,87250,4.7,7971
The Laundromat,MOVIE,2019,R,96,"['drama', 'comedy', 'crime', 'history']",['US'],null,68244,6.3,49391
It's Okay to Not Be Okay,SHOW,2020,TV-MA,76,"['drama', 'comedy', 'romance']",['KR'],1,451520,8.6,21104
Trinkets,SHOW,2019,TV-MA,26,"['comedy', 'crime', 'drama']",['US'],2,34194,7,10263
Over the Moon,MOVIE,2020,PG,95,"['family', 'fantasy', 'scifi', 'romance', 'animation', 'comedy']","['CN', 'US']",null,88208,6.3,21562
The Two Popes,MOVIE,2019,PG-13,125,"['drama', 'comedy', 'history']",['US'],null,4614,7.6,120871
Messiah,SHOW,2020,TV-MA,45,"['drama', 'thriller']",['US'],1,71598,7.6,42018
BEASTARS,SHOW,2019,TV-MA,23,"['drama', 'romance', 'thriller', 'animation', 'crime', 'fantasy']",['JP'],2,43632,7.7,9440
Dorohedoro,SHOW,2020,TV-MA,24,"['scifi', 'horror', 'animation', 'action', 'comedy', 'fantasy']",['JP'],1,147852,8.1,7813
Undercover,SHOW,2019,TV-MA,49,"['drama', 'crime', 'thriller']",['BE'],3,63154,7.8,16773
IO,MOVIE,2019,PG-13,96,"['scifi', 'romance', 'drama']",['US'],null,56226,4.7,33724
Velvet Buzzsaw,MOVIE,2019,R,112,"['thriller', 'horror', 'comedy']",['US'],null,43012,5.7,59491
Bonding,SHOW,2019,TV-MA,17,"['comedy', 'drama']",['US'],2,18088,7.1,15871
Cheer,SHOW,2020,TV-MA,56,"['documentation', 'sport', 'reality']",['US'],2,426660,8.1,6145
The Occupant,MOVIE,2020,R,103,"['thriller', 'european', 'drama']",['ES'],null,45754,6.4,16939
Wu Assassins,SHOW,2019,TV-MA,44,"['scifi', 'action', 'crime', 'drama', 'fantasy']",['US'],1,52642,6.4,12799
Lego Jurassic World: Legend of Isla Nublar,SHOW,2019,TV-PG,22,"['scifi', 'animation', 'comedy', 'family']",['CA'],1,872880,6.7,272
The Red Sea Diving Resort,MOVIE,2019,R,129,"['thriller', 'drama', 'history']","['US', 'CA']",null,75186,6.6,28051
Green Eggs and Ham,SHOW,2019,TV-Y7,28,"['action', 'family', 'fantasy', 'drama', 'animation', 'comedy', 'romance']",['US'],2,51448,8.1,2556
Crip Camp: A Disability Revolution,MOVIE,2020,R,108,"['documentation', 'history']",['US'],null,23484,7.7,7264
Stateless,SHOW,2020,TV-14,53,['drama'],['AU'],1,78488,7.5,9218
The Wandering Earth,MOVIE,2019,PG-13,126,"['scifi', 'drama', 'action', 'thriller']",['CN'],null,5074,5.9,29840
Caliphate,SHOW,2020,TV-MA,48,"['war', 'crime', 'drama', 'thriller']",['SE'],1,398870,8.2,17735
Down to Earth with Zac Efron,SHOW,2020,TV-PG,39,"['documentation', 'history', 'reality']",['US'],1,585152,8,6446
Wine Country,MOVIE,2019,R,103,"['comedy', 'drama']",['US'],null,69446,5.4,20836
