title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
6 Bullets,MOVIE,2012,R,115,"['thriller', 'drama', 'action', 'crime']",['US'],null,75249,6,14898
Justin Time,SHOW,2011,TV-Y,15,"['action', 'animation', 'family', 'comedy']",['CA'],3,59210,6,16
The In-Laws,SHOW,2011,TV-14,44,"['family', 'drama']",['SG'],1,199688,,
Shaitan,MOVIE,2011,PG-13,126,"['action', 'crime', 'thriller', 'drama']",['IN'],null,36912,7.3,8414
Paan Singh Tomar,MOVIE,2012,PG,135,"['drama', 'sport', 'thriller', 'action', 'crime']",['IN'],null,20933,8.2,35888
Game,MOVIE,2011,PG,135,"['thriller', 'drama', 'action', 'crime', 'european']",['IN'],null,72872,5.2,2316
Lavell Crawford: Can a Brother Get Some Love?,MOVIE,2011,NC-17,90,"['comedy', 'documentation']",['US'],null,84872,6.9,230
Arjun: The Warrior Prince,MOVIE,2012,G,96,"['animation', 'action', 'drama']",['IN'],null,58104,6.7,14
Tere Naal Love Ho Gaya,MOVIE,2012,PG,126,"['romance', 'drama', 'comedy']",['IN'],null,30242,5.8,4359
FRED 3: Camp Fred,MOVIE,2012,PG,81,"['comedy', 'family']",['US'],null,95219,2,2625
Kalakalappu,MOVIE,2012,G,149,['comedy'],['IN'],null,62126,6.9,1342
Meet the Adebanjos,SHOW,2012,TV-PG,25,['comedy'],['GB'],3,44781,7.6,76
Katt Williams: Kattpacalypse,MOVIE,2012,R,60,['comedy'],['US'],null,70686,5.5,635
No One Killed Jessica,MOVIE,2011,PG-13,136,"['crime', 'drama', 'thriller']",['IN'],null,34110,7.2,11665
Luv Shuv Tey Chicken Khurana,MOVIE,2012,PG,140,['comedy'],['IN'],null,86933,6.6,3905
Ragini MMS,MOVIE,2011,PG-13,93,"['horror', 'drama', 'thriller']",['IN'],null,90513,5.1,2617
The Oath,SHOW,2011,TV-14,44,['drama'],['SG'],1,31686,7.9,9
Tita Rahiba,MOVIE,2012,G,104,"['comedy', 'drama']",['XX'],null,50736,5.2,700
Ek Main Aur Ekk Tu,MOVIE,2012,PG,110,"['drama', 'comedy', 'romance']",['IN'],null,3958,5.8,6754
Michael,MOVIE,2011,PG-13,97,"['thriller', 'drama']",['IN'],null,54202,5.3,167
Bbuddah Hoga Terra Baap,MOVIE,2011,PG-13,118,"['thriller', 'action', 'comedy', 'crime']",['IN'],null,69296,5.6,2884
Shor in the City,MOVIE,2011,PG,107,"['drama', 'crime']",['IN'],null,16728,7.2,3708
Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,G,66,"['animation', 'action', 'fantasy']",['IN'],null,235600,9,5
Department,MOVIE,2012,R,141,"['thriller', 'action', 'crime']",['IN'],null,86731,3.2,1049
The Mistress,MOVIE,2012,PG-13,125,"['romance', 'drama']",['PH'],null,89344,6.3,359
Inborn Pair,SHOW,2011,TV-14,43,"['drama', 'comedy']",['TW'],1,57282,7.1,108
Ferrari Ki Sawaari,MOVIE,2012,G,140,"['comedy', 'family', 'sport', 'drama']",['IN'],null,22340,6.4,5411
Zokkomon,MOVIE,2011,PG,109,"['scifi', 'fantasy', 'action', 'family']",['IN'],null,5790,3.9,407
Office Girls,SHOW,2011,TV-14,46,"['drama', 'comedy', 'romance']",['TW'],1,81290,6.9,140
Aiyyaa,MOVIE,2012,G,146,"['comedy', 'romance']",['IN'],null,55934,4.3,1871
Blood Money,MOVIE,2012,PG,110,"['drama', 'thriller', 'action', 'crime']",['IN'],null,46595,5.1,1533
"Love, Now",SHOW,2012,TV-Y,45,"['drama', 'comedy']",['TW'],1,73116,7.6,116
Chota Bheem Aur Ganesh in the Amazing Odyssey,MOVIE,2012,G,65,['animation'],['IN'],null,56352,7.8,12
Masameer,SHOW,2011,TV-MA,0,"['comedy', 'animation']",['SA'],1,98258,8.2,677
